,Laptop,Price,Processor,RAM,SSD,Operating System,Display,Other specification
0,HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹59,990",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts"
1,Lenovo Ideapad Slim 3i (2021) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14 ITL 6 Thin and L...,"₹53,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 10 Operating System,35.56 cm (14 Inch) Display,Microsoft Office Home and Student 2019
2,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s- dy2506TU Thin and Light Laptop,"₹36,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,Microsoft Office Home & Student 2019
3,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹38,250",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021
4,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-GY0501AU Thin and Light Laptop,"₹34,990",AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2019 included
5,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop,"₹48,490",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,"Microsoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart """
6,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,"₹33,490",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student 2019
7,ASUS VivoBook 15 (2022) Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ332WS T...,"₹37,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021
8,Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop,"₹35,840",Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021
9,HP HP Pavilion Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,"₹52,990",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Smart, HP Jumpstarts"
10,ASUS VivoBook Ultra 14 (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB532WS Thi...,"₹55,990",Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,Office Home and Student 2021
11,HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-du3517TU Thin and Light Laptop,"₹52,990",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2019
12,RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop,"₹39,999",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,Windows 10 Operating System,39.62 cm (15.6 inch) Display,"MS Office Home & Student 2019, Mi Smart Share, DTS Audio processing"
13,acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,"₹52,990",AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"Free upgrade to Windows 11 when available Acer Collection , Acer Product Registration, Acer Care Center, Quick Access "
14,acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹52,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"Free upgrade to Windows 11 when available Quick Access, Acer Care Center, Acer Product Registration, Acer Collection "
15,acer Aspire 7 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,"₹59,990",Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,NA
16,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2627TU Thin and Light Laptop,"₹39,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,NA
17,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"₹58,990",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,NA
18,DELL Inspiron Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3525 Notebook,"₹29,290",AMD Athlon Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,NA
19,ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop,"₹34,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021
20,Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop,"₹29,990",Intel Core i3 Processor (10th Gen),8 GB LPDDR4X RAM,256 GB SSD,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,1 year Onsite Warranty
21,HP Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq4021TU Thin and Light Laptop,"₹52,490",Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,NA
22,HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop,"₹38,990",AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,NA
23,DELL Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050...,"₹75,990",AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"NVIDIA RTX 3050 Graphics upto 90W TGP Office Home and Student 2021 Alienware Command Center 15.6 inch Full HD AG Display (250 nits Brightness, 120Hz, Narrow Border) "
